Analysis,Row,Identifier.1,Comment,Amount,unique.ID,Area.44,d.13C.12C.raw,Area.28,d.15N.14N.raw,d.13C.12C.VPDB,d.15N.14N.air,mass.percent.C,mass.percent.N
47591,9,89_W_03_a,SAMPLE,0.699,89_W_03_a_47591,107.525,-7.436,79.848,11.522,-17.43919599347859,11.29723146360189,28.932618026617483,10.244518662662163
47592,10,89_W_03_b,SAMPLE,0.4,89_W_03_b_47592,60.556,-6.979,44.689,11.317,-17.01849863536872,11.090849659379078,29.068154167739547,10.234666120892875
47593,11,89_W_03_c,SAMPLE,0.409,89_W_03_c_47593,60.319,-7.25,44.219,11.555,-17.267971248164727,11.330453900379219,28.322454890617486,9.909209234129781
47594,12,89_W_03_d,SAMPLE,0.466,89_W_03_d_47594,71.084,-6.966,52.911,10.554,-17.006531314459686,10.32270665146686,29.08622231689364,10.324254291878326
47595,13,89_W_03_e,SAMPLE,0.686,89_W_03_e_47595,97.69,-6.778,73.039,11.332,-16.833465442852123,11.105950767005139,26.856881072863715,9.572804387237584
47596,14,89_W_03_f,SAMPLE,0.421,89_W_03_f_47596,65.577,-3.654,47.499,11.326,-13.957626172096665,11.099910323954713,29.801056648541792,10.306397482783835
47597,15,89_W_03_g,SAMPLE,0.663,89_W_03_g_47597,102.555,-7.088,76.299,11.5,-17.11884001837523,11.275083172417002,29.131600667482445,10.333824883485285
47598,16,89_W_03_h,SAMPLE,0.775,89_W_03_h_47598,119.298,-6.919,89.554,12.198,-16.96326484655779,11.977788047282964,28.875726054833866,10.332399368497642
47599,17,77_W_02_a,SAMPLE,0.528,77_W_02_a_47599,81.291,-6.929,59.508,10.997,-16.97247047802628,10.768692696689811,29.208987822365636,10.201863023612418
47603,21,77_W_02_b,SAMPLE,0.643,77_W_02_b_47603,98.601,-5.695,72.776,10.343,-15.836495554814938,10.110284404193624,28.912222162223735,10.177296000472683
47604,22,77_W_02_c,SAMPLE,0.565,77_W_02_c_47604,86.955,-7.632,64.283,10.533,-17.619626370260942,10.301565100790375,29.13100124628045,10.27101756663695
47605,23,77_W_02_d,SAMPLE,0.68,77_W_02_d_47605,101.226,-7.062,75.907,10.368,-17.094905376557165,10.135452916903724,28.045598732382533,10.025191559062597
47606,24,77_W_02_e,SAMPLE,0.44,77_W_02_e_47606,69.827,-11.069,53.407,9.423,-20.783601905980056,9.184083136461984,30.282076148474758,11.032660112765152
47607,25,65_W_02_a,SAMPLE,0.581,65_W_02_a_47607,87.414,-6.493,64.515,11.435,-16.571104946000233,11.209645039370745,28.473365781459687,10.023000274769087
47608,26,65_W_02_b,SAMPLE,0.399,65_W_02_b_47608,63.366,-6.137,46.646,10.766,-16.24338446572208,10.536135639248497,30.430000300362675,10.688177781929735
47609,27,65_W_02_c,SAMPLE,0.702,65_W_02_c_47609,105.764,-7.221,78.664,11.622,-17.241274916906114,11.397905514442284,28.349840220828643,10.053609347979284
47610,28,65_W_02_d,SAMPLE,0.435,65_W_02_d_47610,71.755,-5.884,52.763,11.254,-16.01048198956935,11.027425007349628,31.441359387142835,11.030326211839947
47611,29,65_W_02_e,SAMPLE,0.511,65_W_02_e_47611,72.667,-6.515,52.807,11.166,-16.591357335230903,10.93883184261008,27.091805862331924,9.397319350297675
47612,30,65_W_02_f,SAMPLE,0.553,65_W_02_f_47612,85.21,-7.973,61.584,10.888,-17.933538403336364,10.65895798127378,29.185591293436858,10.068139207330425
47617,35,71_W_02_a,SAMPLE,0.431,71_W_02_a_47617,66.713,-7.428,48.635,10.175,-17.4318314883038,9.94115199878176,29.592029153515497,10.29719466877546
47618,36,71_W_02_b,SAMPLE,0.476,71_W_02_b_47618,74.942,-7.169,53.39,11.555,-17.193405633269975,11.330453900379219,29.95861620098146,10.195141755331068
47619,37,71_W_02_c,SAMPLE,0.713,71_W_02_c_47619,106.413,-9.443,76.763,11.153,-19.286766229204005,10.92574421600083,28.07906445236409,9.665921972977095
47620,38,71_W_02_d,SAMPLE,0.547,71_W_02_d_47620,83.571,-7.559,60.594,10.452,-17.552425260540986,10.220019119609654,28.957311198940133,10.020693875666739
47621,39,71_W_02_e,SAMPLE,0.516,71_W_02_e_47621,77.97,-6.906,57.207,11.794,-16.95129752564876,11.571064881887766,28.710290408499812,10.050113901502966
47622,40,71_W_02_f,SAMPLE,0.567,71_W_02_f_47622,87.699,-7.038,64.053,10.437,-17.072811861032793,10.204918011983596,29.268410010545814,10.199402395410281
47623,41,71_W_02_g,SAMPLE,0.615,71_W_02_g_47623,100.683,-6.628,75.518,9.486,-16.69538097082481,9.247507788491433,30.84816744379475,11.02958751850807
47624,42,68_W_02_a,SAMPLE,0.613,68_W_02_a_47624,96.907,-6.423,70.573,11.897,-16.50666552572082,11.674759154253373,29.821385897728398,10.3618684084978
47625,43,68_W_02_b,SAMPLE,0.552,68_W_02_b_47625,85.084,-6.92,60.963,11.241,-16.96418540970464,11.014337380740377,29.19668562945741,9.988240599425108
