"","Year","Value"
"1",1965,-0.144166666666667
"2",1966,-0.44
"3",1967,-0.741666666666667
"4",1968,-0.154166666666667
"5",1969,-0.344166666666667
"6",1970,-0.404166666666667
"7",1971,-1.31583333333333
"8",1972,-1.14416666666667
"9",1973,-1.13666666666667
"10",1974,-0.3025
"11",1975,-1.41166666666667
"12",1976,-0.149166666666667
"13",1977,0.045
"14",1978,0.0716666666666666
"15",1979,0.1075
"16",1980,0.308333333333333
"17",1981,0.838333333333333
"18",1982,-0.2575
"19",1983,1.24833333333333
"20",1984,0.603333333333333
"21",1985,0.0266666666666667
"22",1986,1.0075
"23",1987,1.13666666666667
"24",1988,-0.0383333333333333
"25",1989,-0.504166666666667
"26",1990,-0.826666666666667
"27",1991,-0.879166666666667
"28",1992,0.76
"29",1993,1.04333333333333
"30",1994,-0.493333333333333
"31",1995,0.439166666666667
"32",1996,0.683333333333333
"33",1997,1.31666666666667
"34",1998,-0.478333333333333
"35",1999,-1.84333333333333
"36",2000,-1.12583333333333
"37",2001,-1.13416666666667
"38",2002,-0.439166666666667
"39",2003,0.381666666666667
"40",2004,-0.224166666666667
"41",2005,-0.188333333333333
"42",2006,-0.350833333333333
"43",2007,-0.7025
"44",2008,-1.66333333333333
"45",2009,-1.03166666666667
"46",2010,-1.06083333333333
"47",2011,-1.81166666666667
"48",2012,-1.73333333333333
"49",2013,-1.16583333333333
"50",2014,0.554166666666667
"51",2015,0.920833333333333
"52",2016,0.673333333333333
"53",2017,-0.0933333333333333
"54",2018,-0.365
"55",2019,-0.154166666666667
"56",2020,-1.145
"57",2021,-1.87416666666667
"58",2022,-2.115
