"","year","mean_SaA"
"1",1963,521
"2",1964,498
"3",1965,485
"4",1966,504
"5",1967,525
"6",1968,506
"7",1969,514
"8",1970,495
"9",1971,520
"10",1972,513
"11",1973,517
"12",1974,521
"13",1975,506
"14",1976,517
"15",1977,527
"16",1978,503
"17",1979,523
"18",1980,505
"19",1981,527
"20",1982,504
"21",1983,510
"22",1984,499
"23",1985,518
"24",1986,523
"25",1987,511
"26",1988,515
"27",1989,510
"28",1990,490
"29",1991,495
"30",1992,496
"31",1993,519
"32",1994,494
"33",1995,506
"34",1996,504
"35",1997,505
"36",1998,499
"37",1999,501
"38",2000,504
"39",2001,519
"40",2002,502
"41",2003,512
"42",2004,511
"43",2005,511
"44",2006,487
"45",2007,505
"46",2008,484
"47",2009,504
"48",2010,491
"49",2011,508
"50",2012,500
"51",2013,495
"52",2014,494
"53",2015,495
"54",2016,494
"55",2017,502
"56",2018,469
"57",2019,478
"58",2020,470
