"","year","System","mean_SaA"
"1",1963,"Egegik",531
"2",1965,"Egegik",500
"3",1966,"Egegik",513
"4",1967,"Egegik",526
"5",1968,"Egegik",527
"6",1969,"Egegik",525
"7",1970,"Egegik",488
"8",1971,"Egegik",534
"9",1972,"Egegik",504
"10",1973,"Egegik",533
"11",1974,"Egegik",539
"12",1975,"Egegik",520
"13",1977,"Egegik",536
"14",1978,"Egegik",529
"15",1979,"Egegik",530
"16",1980,"Egegik",508
"17",1981,"Egegik",534
"18",1982,"Egegik",519
"19",1983,"Egegik",532
"20",1984,"Egegik",505
"21",1985,"Egegik",512
"22",1986,"Egegik",521
"23",1987,"Egegik",520
"24",1988,"Egegik",515
"25",1989,"Egegik",519
"26",1990,"Egegik",485
"27",1991,"Egegik",498
"28",1992,"Egegik",489
"29",1993,"Egegik",515
"30",1994,"Egegik",487
"31",1995,"Egegik",505
"32",1996,"Egegik",516
"33",1997,"Egegik",499
"34",1998,"Egegik",497
"35",1999,"Egegik",500
"36",2000,"Egegik",508
"37",2001,"Egegik",514
"38",2002,"Egegik",510
"39",2003,"Egegik",527
"40",2004,"Egegik",506
"41",2005,"Egegik",519
"42",2006,"Egegik",484
"43",2007,"Egegik",501
"44",2008,"Egegik",480
"45",2009,"Egegik",495
"46",2010,"Egegik",495
"47",2011,"Egegik",519
"48",2012,"Egegik",491
"49",2013,"Egegik",489
"50",2014,"Egegik",485
"51",2015,"Egegik",477
"52",2016,"Egegik",493
"53",2017,"Egegik",519
"54",2018,"Egegik",477
"55",2019,"Egegik",470
"56",2020,"Egegik",467
"57",1963,"Kvichak",520
"58",1965,"Kvichak",484
"59",1966,"Kvichak",511
"60",1967,"Kvichak",528
"61",1968,"Kvichak",504
"62",1969,"Kvichak",514
"63",1970,"Kvichak",496
"64",1971,"Kvichak",521
"65",1972,"Kvichak",525
"66",1973,"Kvichak",516
"67",1974,"Kvichak",517
"68",1975,"Kvichak",505
"69",1976,"Kvichak",516
"70",1977,"Kvichak",526
"71",1978,"Kvichak",501
"72",1979,"Kvichak",524
"73",1980,"Kvichak",506
"74",1981,"Kvichak",529
"75",1982,"Kvichak",512
"76",1983,"Kvichak",508
"77",1984,"Kvichak",498
"78",1985,"Kvichak",522
"79",1986,"Kvichak",533
"80",1987,"Kvichak",514
"81",1988,"Kvichak",517
"82",1989,"Kvichak",510
"83",1990,"Kvichak",492
"84",1991,"Kvichak",494
"85",1992,"Kvichak",504
"86",1993,"Kvichak",528
"87",1994,"Kvichak",497
"88",1995,"Kvichak",508
"89",1996,"Kvichak",521
"90",1997,"Kvichak",524
"91",1998,"Kvichak",508
"92",1999,"Kvichak",506
"93",2000,"Kvichak",522
"94",2001,"Kvichak",524
"95",2002,"Kvichak",517
"96",2003,"Kvichak",520
"97",2004,"Kvichak",518
"98",2005,"Kvichak",523
"99",2006,"Kvichak",504
"100",2007,"Kvichak",517
"101",2008,"Kvichak",492
"102",2009,"Kvichak",516
"103",2010,"Kvichak",500
"104",2011,"Kvichak",512
"105",2012,"Kvichak",506
"106",2013,"Kvichak",514
"107",2014,"Kvichak",506
"108",2015,"Kvichak",504
"109",2016,"Kvichak",500
"110",2017,"Kvichak",519
"111",2018,"Kvichak",482
"112",2019,"Kvichak",498
"113",2020,"Kvichak",483
"114",1963,"Wood",511
"115",1964,"Wood",498
"116",1965,"Wood",496
"117",1966,"Wood",486
"118",1967,"Wood",502
"119",1968,"Wood",501
"120",1969,"Wood",504
"121",1970,"Wood",487
"122",1971,"Wood",503
"123",1972,"Wood",497
"124",1973,"Wood",504
"125",1974,"Wood",518
"126",1975,"Wood",512
"127",1976,"Wood",519
"128",1977,"Wood",513
"129",1978,"Wood",502
"130",1979,"Wood",514
"131",1980,"Wood",493
"132",1981,"Wood",511
"133",1982,"Wood",478
"134",1983,"Wood",502
"135",1984,"Wood",495
"136",1985,"Wood",489
"137",1986,"Wood",500
"138",1987,"Wood",491
"139",1988,"Wood",502
"140",1989,"Wood",498
"141",1990,"Wood",477
"142",1991,"Wood",483
"143",1992,"Wood",480
"144",1993,"Wood",490
"145",1994,"Wood",475
"146",1995,"Wood",490
"147",1996,"Wood",487
"148",1997,"Wood",488
"149",1998,"Wood",487
"150",1999,"Wood",492
"151",2000,"Wood",493
"152",2001,"Wood",522
"153",2002,"Wood",493
"154",2003,"Wood",495
"155",2004,"Wood",482
"156",2005,"Wood",487
"157",2006,"Wood",477
"158",2007,"Wood",489
"159",2008,"Wood",472
"160",2009,"Wood",490
"161",2010,"Wood",474
"162",2011,"Wood",485
"163",2012,"Wood",484
"164",2013,"Wood",471
"165",2014,"Wood",475
"166",2015,"Wood",470
"167",2016,"Wood",469
"168",2017,"Wood",486
"169",2018,"Wood",463
"170",2019,"Wood",459
"171",2020,"Wood",460
