"","Year","System","Age","Sample.ID","PHE.mean","GLU.mean","PHE.sd","GLU.sd"
"1","2001","Egegik","2","01_E_2",5.3952424242404,24.4008041802094,0.710890465306798,0.0557807278868011
"2","2001","Egegik","3","01_E_3",7.2324924242417,22.9278519389459,0.50962202527273,0.415334323520449
"3","2001","Egegik","3","01_E_3_R",2.88875833333324,23.7465548349559,0.668568652210168,0.289746623442871
"4","2001","Kvichak","2","01_K_2",6.35491897233201,22.9326816282584,0.969320825057781,0.52670167981896
"5","2001","Kvichak","3","01_K_3",6.28936969696833,23.8290465944346,0.422905683693658,0.467924297696817
"6","2001","Wood","2","01_W_2",3.13708664702973,23.1666384922877,0.799023331921761,0.469932576580255
"7","2001","Wood","3","01_W_3",6.47999275362308,23.5718248550178,0.756098454627084,0.295212922896779
"8","2004","Egegik","2","04_E_2",5.04538276515054,24.0288486317259,0.883772283225335,0.562612167842743
"9","2004","Egegik","2","04_E_2_R",3.76182007575787,24.1539952864941,0.405016596489868,0.140694984334218
"10","2004","Egegik","3","04_E_3",2.40971442687726,23.1435208461452,0.429109007863171,0.160793544166032
"11","2004","Kvichak","2","04_K_2",8.71451515151441,24.4275019294603,0.209901047049231,0.213208159346897
"12","2004","Kvichak","3","04_K_3",3.57984387351744,25.6864767122542,1.23142724571728,0.237681255166266
"13","2004","Wood","2","04_W_2",3.38889696969445,23.8157810166288,0.303206378906117,0.253455948616316
"14","2004","Wood","3","04_W_3",7.01444365530275,24.4329806475567,0.741940347079948,0.392175398489418
"15","2007","Egegik","2","07_E_2",6.31811950757527,22.5696337449709,0.59593228839099,0.636658788837667
"16","2007","Egegik","3","07_E_3",2.34677049582678,24.2084575518135,0.23857181677546,0.345932787316525
"17","2007","Kvichak","2","07_K_2",6.00813707386313,23.2971250017799,3.32523090772539,0.918186191896939
"18","2007","Wood","2","07_W_2",3.32614412878767,23.4292523626934,0.514291948515501,0.409213881542651
"19","2010","Egegik","2","10_E_2",4.10489725378729,24.9974521553866,0.317718359397104,0.230635035498543
"20","2010","Egegik","3","10_E_3",2.21999053030254,25.3612008191497,0.305462417138901,0.377611477030765
"21","2010","Kvichak","2","10_K_2",3.28450378787789,24.0723752984208,0.932519521344276,0.400012241886804
"22","2010","Wood","2","10_W_2",4.66887878787792,25.9345010550838,1.70040883974386,0.757257257773701
"23","2010","Wood","2","10_W_2_R",4.44724782197014,24.9306453656826,0.774193942785579,0.504668021701761
"24","2013","Egegik","2","13_E_2",1.5790836174222,21.8195373086471,0.554908588375713,0.347540284005155
"25","2013","Egegik","3","13_E_3",3.35174810605876,22.8819381165533,1.13339876925406,0.3483512478057
"26","2013","Kvichak","2","13_K_2",5.925795454545,21.2529102898335,0.603180135042427,0.27372412030381
"27","2013","Kvichak","3","13_K_3",1.13677949852541,22.7382120406828,0.46853696250819,0.29560882034915
"28","2013","Wood","2","13_W_2",6.03190568181853,22.1606197167511,1.39252725210034,3.15910895331686
"29","2013","Wood","2","13_W_2_a",2.87464772727255,24.4224753099897,0.265649541599043,0.300114151245556
"30","2013","Wood","3","13_W_3",5.88993446969684,24.0001262833262,0.536183841473535,0.199583138671948
"31","2013","Wood","3","13_W_3_a",2.87040757575741,24.5789148748576,1.14076044852607,0.617279918435154
"32","2016","Egegik","2","16_E_2",3.18357784090891,24.6890787198297,0.264365502145261,0.529624849040024
"33","2016","Kvichak","2","16_K_2",3.76283418560582,25.721611274852,0.348452512445547,0.389425144185985
"34","2016","Wood","2","16_W_2",3.81553664772656,24.926115359834,1.39217919100183,0.449401627356482
"35","2016","Wood","3","16_W_3",5.01115823863612,24.2769375000172,0.161215659224321,0.0938710186850049
"36","2019","Egegik","2","19_E_2",4.67520738636386,23.893176319338,NA,0.337665576257931
"37","2019","Kvichak","2","19_K_2",5.2373931818181,25.4886477790198,0.431677801767256,0.497862671219857
"38","2019","Kvichak","3","19_K_3",4.52396695075795,25.8762084136893,0.493518861522371,0.454966208260582
"39","2019","Wood","2","19_W_2",5.4378503787877,25.4521015239806,0.207363602972021,0.294524823062848
"40","2022","Egegik","2","22_E_2",2.18503219696851,23.4131503103895,0.731607875488053,0.369718370783235
"41","2022","Egegik","2","22_E_2_R",2.39439204545344,24.8014529207439,0.608373674250406,0.437549206827017
"42","2022","Egegik","3","22_E_3",1.48411775568087,21.4704539483194,0.831270915193242,0.063537993556587
"43","2022","Kvichak","2","22_K_2",4.86614933711971,24.3444634996635,0.840591227242415,0.106839654931537
"44","2022","Kvichak","3","22_K_3",3.65607997159087,23.3251092190444,1.00606593797533,0.393288898345218
"45","2022","Kvichak","3","22_K_3_R",3.68880530303085,24.5602380064441,0.734358865950643,0.0916633479675413
"46","2022","Wood","2","22_W_2",4.78048285984849,24.4218379624676,0.987135668562717,0.194352596261823
"47","2022","Wood","3","22_W_3",4.21315170454544,22.2824944493109,0.437474401835433,0.430083317854056
"48","1965","Egegik","2","65_E_2",2.51646136363635,23.2895595232382,0.329725691949016,0.486515558024577
"49","1965","Kvichak","2","65_K_2",4.24901325757563,24.0400799513365,0.71458159816432,0.538989609357058
"50","1965","Wood","2","65_W_2",4.28038986742363,24.6542437146259,1.80963177239557,0.34578436444221
"51","1967","Egegik","2","67_E_2",1.93562196969619,24.5302444103037,0.887770953174358,0.195895418999515
"52","1967","Egegik","3","67_E_3",3.90071297348401,24.758401067284,0.522841694453568,0.623067984850908
"53","1968","Kvichak","2","68_K_2",1.85594507575658,24.1028697394161,0.123595240530912,0.163799229878736
"54","1968","Wood","2","68_W_2",3.34501051136344,23.7484508904128,0.399786282180733,0.301145621211675
"55","1968","Wood","3","68_W_3",3.62985407196876,23.393526085119,0.385080638270228,0.169605150026015
"56","1971","Egegik","2","71_E_2",4.19306969696843,23.484567171921,0.880904614561982,0.313886024589259
"57","1971","Egegik","3","71_E_3",3.8655859848471,24.5837212096652,0.336073196440467,0.157359220539731
"58","1971","Kvichak","2","71_K_2",3.25530946969609,22.6405011593315,0.0568646635139229,0.0574318021707738
"59","1971","Kvichak","3","71_K_3",2.85582575757476,23.6707738326869,0.434131507832221,0.0465228078969622
"60","1971","Wood","2","71_W_2",6.68019886363742,25.6431942200914,0.300756980456463,0.0857978187448017
"61","1971","Wood","3","71_W_3",2.45285378787952,24.245311790444,0.833478525225845,0.49074244679281
"62","1974","Egegik","2","74_E_2",3.97812959280344,24.5106364713125,1.22635237114634,0.400031315196646
"63","1974","Kvichak","2","74_K_2",3.5647580492419,22.2192305809847,0.809467121408885,0.805813310821668
"64","1974","Wood","2","74_W_2",4.32324857954525,23.7160070728592,0.138215061470652,0.478481014962713
"65","1974","Wood","2","74_W_2_R",4.51043749999992,25.6529895121016,0.885953601711018,0.863444256823394
"66","1977","Egegik","2","77_E_2",5.10027045454546,23.0559573691079,NA,2.06076780724044
"67","1977","Egegik","3","77_E_3",1.41212433712267,23.4937208304301,0.106947208575682,0.21368076874739
"68","1977","Kvichak","2","77_K_2",4.48991657197032,23.5912939552184,0.240267840060755,0.479690586456611
"69","1977","Wood","2","77_W_2",4.79447727272721,24.2821107603638,0.596098649409101,0.166715097289026
"70","1977","Wood","3","77_W_3",1.39709564393938,22.8214659699811,0.343102325681254,0.179920873954747
"71","1980","Kvichak","2","80_K_2",3.40330681818177,24.2997324767763,1.0200883305381,0.429242580205343
"72","1980","Wood","2","80_W_2",5.02473579545455,21.8217582280376,NA,1.44117922003816
"73","1983","Kvichak","2","83_K_2",3.95623295454539,22.547524749854,NA,0.918021675764486
"74","1984","Wood","2","84_W_2",6.66236676136338,23.6723313804308,1.29764493664845,0.434587811694122
"75","1986","Egegik","2","86_E_2",7.04835511363634,25.5161313200348,1.05641675679243,0.467057946872087
"76","1986","Wood","2","86_W_2",3.47361671575809,24.0767198469519,0.197785199464708,0.369784279721943
"77","1986","Wood","3","86_W_3",6.43102945075777,22.9830045081208,0.0472835855905143,0.319875107930168
"78","1989","Egegik","2","89_E_2",5.92167187499935,23.4461029810067,0.411605877851209,0.196883390944708
"79","1989","Egegik","3","89_E_3",2.50047916666579,23.6787490230251,1.86759810171115,0.605642159739817
"80","1989","Kvichak","2","89_K_2",7.12554166666592,23.7245049201506,1.05422967173432,0.0911512723395332
"81","1989","Kvichak","2","89_K_2_R",3.62478020833329,20.9135267109924,0.251725313274406,0.336746706482563
"82","1989","Wood","2","89_W_2",3.39401562499903,23.6040849244592,0.720059638541579,0.292844865236542
"83","1989","Wood","2","89_W_2_R",1.71273863636348,22.9046992407778,0.690572535463007,0.13026425084997
"84","1989","Wood","3","89_W_3",3.98950568181768,25.0958543306535,1.09254725015689,0.332995532474401
"85","1992","Egegik","2","92_E_2",3.70780331439349,24.3853176464477,1.31631210837213,0.248721400462481
"86","1992","Wood","2","92_W_2",6.81799820075684,22.9957998143628,1.07176854138794,0.336333024008925
"87","1992","Wood","3","92_W_3",3.34383787878772,23.747592144798,3.0063054311838,0.0302051607245067
"88","1993","Kvichak","2","93_K_2",6.45066439393904,23.603731510794,0.481328492889621,0.233472424287757
"89","1995","Egegik","2","95_E_2",4.76540151515116,23.4683915953323,1.42020768945117,0.148487388305959
"90","1995","Egegik","3","95_E_3",8.21503939393921,24.5346591395793,1.08042586849462,0.805105053668043
"91","1995","Kvichak","2","95_K_2",3.34283977272686,22.0715339726481,0.472927035383813,0.45851057254171
"92","1995","Wood","2","95_W_2",3.99640468749991,21.2837897642534,0.902266043085287,0.384369890713523
"93","1995","Wood","3","95_W_3",4.53574895833324,23.1977890629766,0.846524454515652,0.24290102080415
"94","1998","Egegik","2","98_E_2",2.38556818181714,22.6550747213159,0.405797254393852,0.329860837325582
"95","1998","Egegik","3","98_E_3",5.70990709376508,24.2892904964414,0.910419995639782,0.254963429872093
"96","1998","Kvichak","2","98_K_2",6.97317575757463,23.6070872797647,0.745968326789493,0.282316278657735
"97","1998","Wood","2","98_W_2",6.82404848484731,24.043437708588,0.35662019398093,0.527466499516102
