"","X","Sample.ID","Year","System","Age","ALA.mean","VAL.mean","NOR.mean","GLU.mean","PHE.mean","ALA.sd","VAL.sd","NOR.sd","GLU.sd","PHE.sd","new.ID","rep"
"2",2,"01_E_3",2001,"Egegik",3,23.5611928030303,16.6876976325756,14.7710448863639,21.9796559659084,7.2324924242417,0.239662880736285,0.76157369022882,0.362911519625859,0.434005762097686,0.50962202527273,"01_E_3",""
"3",3,"01_E_3_R",2001,"Egegik",3,22.2983477272724,17.7857856060606,14.4744075757572,22.5133371212121,2.88875833333324,0.252055009476568,0.687933921554505,0.239827998997746,0.279206682828433,0.668568652210168,"01_E_3","R"
"8",8,"04_E_2",2004,"Egegik",2,23.2191525568184,19.4115505681819,13.306810227274,22.958502083332,5.04538276515054,0.150009193610582,1.95206419660065,0.422758893246942,0.512530432569524,0.883772283225335,"04_E_2",""
"9",9,"04_E_2_R",2004,"Egegik",2,22.8713333333333,18.5136287878789,11.6078276515148,23.0236893939402,3.76182007575787,0.287690082090664,1.70935018163592,2.21648127292101,0.103047244179327,0.405016596489868,"04_E_2","R"
"22",22,"10_W_2",2010,"Wood",2,22.3769015151514,17.2893579545453,16.8796931818189,23.5535246212112,3.69671590909014,0.300892386445664,0.292918741713873,0.633785657996306,0.717060883155407,0.334927555152551,"10_W_2",""
"23",23,"10_W_2_R",2010,"Wood",2,22.9855000000001,21.6566890151516,13.0152466856057,23.5477132575765,4.44724782197014,0.482972825322501,0.507472226337598,0.344364805944305,0.533350456579092,0.774193942785579,"10_W_2","R"
"40",40,"22_E_2",2022,"Egegik",2,21.0425208333334,19.9553693181818,13.2082935606069,22.0244280303025,2.18503219696851,0.0854617045961173,1.21650091655348,0.849123035076475,0.352116996911491,0.731607875488053,"22_E_2",""
"41",41,"22_E_2_R",2022,"Egegik",2,23.1368768939388,14.4428390151511,14.3983920454547,23.2525965909073,2.39439204545344,0.150767694471183,2.31949631878133,1.40154894830027,0.420914404415545,0.608373674250406,"22_E_2","R"
"44",44,"22_K_3",2022,"Kvichak",3,21.0344372632576,16.233079876894,15.3036588068182,21.3923840435607,3.65607997159087,0.590904821419544,1.9683463380193,0.773857206080116,0.434259548070269,1.00606593797533,"22_K_3",""
"45",45,"22_K_3_R",2022,"Kvichak",3,22.741,14.5558818181819,13.5382689393937,22.973324242425,3.68880530303085,0.56021134404794,0.484082057645558,0.414137073781046,0.110260200461058,0.734358865950643,"22_K_3","R"
"64",64,"74_W_2",1974,"Wood",2,22.3317744318183,16.2114428030305,15.096123011364,21.9708433712121,4.32324857954525,0.150422535742168,1.0771181381594,1.94294952259115,0.480329336906005,0.138215061470652,"74_W_2",""
"65",65,"74_W_2_R",1974,"Wood",2,23.9937973484845,22.1825359848485,13.6686477272724,24.2591571969697,4.51043749999992,0.232616113599297,1.1884288281479,0.501329342482153,0.819920407984331,0.885953601711018,"74_W_2","R"
"80",80,"89_K_2",1989,"Kvichak",2,24.2562606060608,13.9964704545456,15.0353234848493,22.5554984848481,7.72400781249928,0.142728742434801,4.93848327411516,1.30029854720225,0.0874263774064678,0.271716829214408,"89_K_2",""
"81",81,"89_K_2_R",1989,"Kvichak",2,22.2275512310603,22.7430987689394,11.0759111742422,19.7486055871212,3.62478020833329,0.235652887303948,0.229943701791394,0.434157673640108,0.348254486083008,0.251725313274406,"89_K_2","R"
