"","Year","Wood","Egegik","Kvichak"
"1",1965,3.42535792827,3.43224856097279,3.44194840576139
"2",1966,3.41550740833575,3.50872779770733,3.5872496907864
"3",1967,3.40565688840151,3.58520703444187,3.7325509758114
"4",1968,3.39580636846727,3.66168627117641,3.62257488642455
"5",1969,3.35788532687178,3.55188767494623,3.5125987970377
"6",1970,3.31996428527629,3.44208907871604,3.40262270765085
"7",1971,3.2820432436808,3.33229048248586,3.292646618264
"8",1972,3.24798677307026,3.29443276229547,3.31771930787361
"9",1973,3.21393030245971,3.25657504210507,3.34279199748322
"10",1974,3.17987383184916,3.21871732191468,3.36786468709283
"11",1975,3.21263944414067,3.24869506439608,3.32181927256212
"12",1976,3.24540505643217,3.27867280687747,3.27577385803142
"13",1977,3.27817066872367,3.30865054935887,3.22972844350072
"14",1978,3.18129386241744,3.35943034959555,3.23154476062914
"15",1979,3.08441705611122,3.41021014983223,3.23336107775757
"16",1980,2.98754024980499,3.46098995006891,3.23517739488599
"17",1981,2.9999753361829,3.36707219198439,3.23699371201442
"18",1982,3.0124104225608,3.27315443389987,3.23881002914284
"19",1983,3.02484550893871,3.17923667581535,3.24062634627127
"20",1984,3.03728059531662,3.18774227383624,3.2424426633997
"21",1985,3.21393324188973,3.19624787185713,3.24425898052812
"22",1986,3.39058588846284,3.20475346987802,3.24607529765655
"23",1987,3.38844401072832,3.21325906789891,3.17348136916133
"24",1988,3.38630213299379,3.22176466591979,3.10088744066612
"25",1989,3.38416025525927,3.23027026394068,3.02829351217091
"26",1990,3.22419031464117,3.18910716980491,3.16129027738381
"27",1991,3.06422037402307,3.14794407566915,3.29428704259671
"28",1992,2.90425043340497,3.10678098153338,3.42728380780961
"29",1993,2.90588743766858,3.06561788739761,3.35902255871764
"30",1994,2.90752444193218,3.09949114796873,3.29076130962566
"31",1995,2.90916144619579,3.13336440853985,3.22250006053368
"32",1996,2.96401865029219,3.07040727677441,3.27357726244659
"33",1997,3.01887585438858,3.00745014500898,3.3246544643595
"34",1998,3.07373305848497,2.94449301324354,3.37573166627241
"35",1999,3.14936283407417,2.95275251146611,3.32342227966382
"36",2000,3.22499260966337,2.96101200968868,3.27111289305523
"37",2001,3.30062238525257,2.96927150791125,3.21880350644664
"38",2002,3.34780709790717,2.9449244682793,3.21322918494757
"39",2003,3.39499181056177,2.92057742864736,3.2076548634485
"40",2004,3.44217652321637,2.89623038901541,3.20208054194943
"41",2005,3.42898716007672,2.96425249010206,3.08444771374619
"42",2006,3.41579779693707,3.03227459118871,2.96681488554296
"43",2007,3.40260843379742,3.10029669227537,2.84918205733972
"44",2008,3.40510009904236,3.22945980151212,3.05448326401758
"45",2009,3.40759176428731,3.35862291074887,3.25978447069545
"46",2010,3.41008342953226,3.48778601998562,3.46508567737331
"47",2011,3.39135398817095,3.277582771469,3.44137773099779
"48",2012,3.37262454680964,3.06737952295237,3.41766978462227
"49",2013,3.35389510544833,2.85717627443575,3.39396183824676
"50",2014,3.40937790197047,3.10972323334898,3.44780109443625
"51",2015,3.46486069849261,3.3622701922622,3.50164035062575
"52",2016,3.52034349501474,3.61481715117543,3.55547960681524
"53",2017,3.47457687059176,3.58495510047596,3.4912869658681
"54",2018,3.42881024616877,3.55509304977649,3.42709432492096
"55",2019,3.38304362174579,3.52523099907702,3.36290168397382
"56",2020,3.35503217702089,3.46198692689082,3.42727071911292
"57",2021,3.32702073229599,3.39874285470463,3.49163975425202
"58",2022,3.2990092875711,3.33549878251843,3.55600878939112
